id,comment,program,time
pacemaker3138, 와우,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080017
ymy, 오마이갓뚜,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080017
ymy, 양꼬치!!!,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080017
평화정밀, 대박맛나겠어용,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080038
배려, 우왕,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080038
태풍이, 우와~ 양꼬치 정말 맛있어요~,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080038
yur, 너무 배고프네용,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080057
pcz, 감사합니다,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080117
딜, 좋네요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080136
바롬, 몇인분이에영?,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080136
현기증, 저 방금 들어왔어요~~,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080136
jkh, 오 디자인 먹음직,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080136
현기증, 소리가 잘 안들려효,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080157
nhj, 안녕하세요~~~~,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080157
황금사자수혁, 안녕하세여!!!,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080218
야니기사, 반갑습니다,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080218
현기증, 싱크가안맞는거가타요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080218
황금사자수혁, 골드라이언 등장했습니다,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080218
꺼비는내친구, 안녕하세요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080218
꺼비는내친구, 잘볼께요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080218
아이코야, 맛있어 보이네요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080218
황금사자수혁, 양꼬치 냠냠,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080218
ymt, 오 맛있겠땅,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080218
츄츄츄, 와,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080238
츄츄츄, 방가용,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080238
아이코야, 가격이 좋네요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080238
츄츄츄, 맛있겠당,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080238
츄츄츄, ㅎㅎㅎ,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080238
황금사자수혁, 오늘 소통왕도 있어요 ? 대박,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080238
a580818, 좋아요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080259
yle, 양꼬치와욱 ㅅ,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080259
낮도깨비, 안녕하세요 양꼬치 맛있겠어요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080259
황금사자수혁, 양꼬치 잡내만 안나면 진짜 호도독,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080320
toyuheeyeol, 안녕하세요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080402
toyuheeyeol, 양꼬치도 밀키트가 나오네요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080422
잘살자, 맛있겠어요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080422
꽃팬더, 우와,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080422
김소영, 저구매했어요💕 2021120911097451,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080443
황금사자수혁, 양꼬치앤 칭따오,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080443
태풍이, 2021120911114331 아자~,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080505
ssy, 좋아요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080548
ksk, 맛나게네요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080548
jki, 우와 맛있겠다,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080610
akb, 반가워요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080610
냥냥멍, 헐? 이건 구매하려고 알람맞춰놓고들어왔는데 불소언니가 또있네?ㅋㅋㅋㅋ,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080631
냥냥멍, 정들겠어요ㅋㅋㅋ,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080652
rub, 저번에 4팩 샀는데.맛있어서 기다리구 있어요 구매인증이요 2021120911148211,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080652
우인, 안녕하세요~~~,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080712
akb, 맛나겠네요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080712
Wooseok Kang, 4개 구매했어요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080712
고구마참새, 굿굿굿,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080712
잘하자, 맛나겠네요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080733
yki, 안녕하세요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080733
냥냥멍, 아까는 풉백언니였잖아요 ㅋㅋㅋ,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080733
천냥, 안녕하세요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080754
황금사자수혁, ㅋㅋㅋㅋ,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080754
황금사자수혁, 양꼬치누나,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080754
우인, 언니 열일중 ㅋㅋㅋ,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080754
천냥, 맛있겠네요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080754
지노코리아, 대박!!!,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080754
휴머스, 2021120911162301,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080754
천냥, ㅎㅎ,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080815
냥냥멍, 홍길동?,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080815
냥냥멍, 일단 사고올게요 ㅋㅋㅋ,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080815
ope, 굿,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080836
황금사자수혁, 양꼬치앤 칭따오가 짱인데,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080856
우인, 양꼬치에는 하얼빈도 맛있어요 …,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080917
우인," 다이어트중인데.. 마시게따,,,",늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080917
냐미, 맛있겠어요🐷,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_080958
rub, 양고기때메 살찌는게 아니라. 맥주때메 쪄요 ㅜㅜ,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081040
우인," 양꼬치는 살안쪄요.. 내가살쪄,,",늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081040
bor, 양념이 맛있어요? 오리지널이 맛있어요??,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081100
쩡아, 굿굿,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081100
yoonwest, d양꼬치 맛이겠다 ㅠㅠ,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081100
yoonwest, 하 배고프네여ㅑ,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081100
냐미, 굽기만하면 될까요?,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081100
아푸로, 맛나겟어요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081121
냥냥멍, 2021120911214981 언니 더보고 싶은데 구매인증하고 일하러갑니다 ㅠㅠ 바이바이~,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081121
아푸로, 포장 꼼꼼하네요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081121
냥냥멍, 소리 저만 안들리나요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081202
rub, 저두 안들려요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081223
쩡아, 굿굿,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081223
pcz, 저도 소리가 안들려요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081223
열무, 소리가 안들려요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081223
열무, 지금들려요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081223
rub, 이제 들려요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081244
와이, 오오오,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081304
kis, 좋아요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081346
잘살자, 양꼬치 맛나겠어요.,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081346
순무, 좋아요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081406
냥냥멍, 이거 진짜 너무 맛있어요 ㅠㅠ 저번에 5팩 샀는데 벌써 다먹고 ㅠㅠ 기다렸어요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081406
냥냥멍, 남편이랑 저녁에 맥주안주하기 딱조흠,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081406
야니기사, 좋아요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081448
ke1, 안녕하세요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081508
uni, 진짜 편하게 즐길수 있네요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081550
bor, 양념과 오리지널 중 추천해주세여,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081611
냥냥멍, 저는 저번에 오리지널만 샀는데 오늘 양념까지 샀어요 다 맛있을거같아서,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081652
냥냥멍, 근데 구매인증하면 뭐 주나요?,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081713
jyu, 반갑습니다!!,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081734
jyu, hi~,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081734
냥냥멍, 호오...오늘은 꼭 받았으면 좋겟습니다!!!!!,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081754
냥냥멍, 오예~~,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081815
은아아빠, 완성!!!,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081836
pcz, 저는 밥이랑 먹었는데 진짜 맛있었어용~~~,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081836
bor, 2021120911367821 구매인증이요~~,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081836
윤정, 2021120911362271 구매인증이요!!!! 4팩구매했습니당,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081836
은아아빠, 맥주도 세팅해야죠,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081856
rub, 아!! 먹구싶어요.,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081856
bor," 말해주신댜로 2,2개 샀어요~~~",늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081917
냥냥멍, 아 ... 정날 맛있습니다.,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081917
은아아빠, 아~~빨리 먹어봐요.,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081938
황금사자수혁, 양 진짜 많다이거,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081938
황금사자수혁, 남자혼자 먹으면 딱일꺼같은데,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081958
상신, 간편해서 좋구나,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_081958
로딕잉, 땡긴드앙,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082019
황금사자수혁, 맥주 진짜 없어요?,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082019
황금사자수혁, 고문받으시네 쇼호스트분들,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082019
진이, 안녕하세요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082019
은아아빠, 양념 찍어야지요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082019
은아아빠, 듬뿍요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082040
진이, 엇! 쇼호스트님 여기서 보네요~~^^,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082040
냥냥멍, 후우......맛을 알아서 더 괴롭다 ㅠ,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082101
황금사자수혁," 양꼬치 확대해서,,,",늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082101
꼬꼬야, 반가워요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082101
pcz, 찐 맛있어보여요 😋,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082121
은아아빠, 맥주안주 순삭각~~~,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082223
pcz, 밥 반찬으로도 짱,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082244
냐미, 캬 맛나겠다,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082305
냐미, 침나오네유,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082305
pcz, 고소함이 여기까지 느껴져요 🤤,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082326
은아아빠, 아는 맛이라 참을수 없음요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082347
해진, 반가워요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082449
잘살자, 맥주 한잔에 양꼬치,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082530
해피, 맛있겠다,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082551
nak, 양꼬치,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082551
nak, 밀키트,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082551
nak, 맛있겠네요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082551
해피, 굿굿,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082551
핑크쭈, 맛있겠네요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082551
hap, 기대되네요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082612
윤명순, 좋아요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082633
윤명순, 맛있겟어요,늑대와양_양꼬치_초간편_밀키트_전자레인지_4분_완성!,2021-12-09_082633
